question,option 1,option 2,option 3,option 4,answer,explanation,category,option 5
When can target UEs be positioned for lawful interception services? [3GPP Release 17],Only if the target UE user authorizes it,Only if the privacy attribute value allows positioning,Under all circumstances required by local regulatory requirements,Never,option 3: Under all circumstances required by local regulatory requirements,Target UEs can be positioned for lawful interception services under all circumstances required by local regulatory requirements.,Standards specifications,
What are DCI formats with CRC scrambled by MCCH-RNTI or G-RNTI referred to as? [3GPP Release 17],Multicast DCI formats,Broadcast DCI formats,Unicast DCI formats,PUCCH DCI formats,option 2: Broadcast DCI formats,DCI formats with CRC scrambled by MCCH-RNTI or G-RNTI for broadcast scheduling PDSCH receptions are referred to as broadcast DCI formats.,Standards specifications,
What kind of access can enterprise UEs have to non-public networks? [3GPP Release 17],Access to the non-public network of the enterprise only,Access to both a non-public network and a PLMN,Access to a PLMN only,Access to a PLMN and a non-public network via a different network,option 2: Access to both a non-public network and a PLMN,"Some enterprise UEs can be restricted to only access the non-public network of the enterprise, while others can access both a non-public network and a PLMN where specifically allowed.",Standards specifications,Access to a PLMN and a non-public network via multiple subscriptions
What is the purpose of the TRP Measurement Grid? [3GPP Release 18],To calculate the CDF of the EIRP/EIS distribution in 3D,To determine the total power radiated by the DUT in the TX beam peak direction,To determine the TX and RX beam peak direction,To perform TRP measurements taken on the sampling grid,option 4: To perform TRP measurements taken on the sampling grid,The TRP Measurement Grid is used to perform TRP measurements taken on the sampling grid to determine the total power radiated by the DUT in the TX beam peak direction.,Standards specifications,To perform 3D Throughput/RSRP/EIS scans for RX beam peak direction
What action is necessary to get access to services in Idle mode? [3GPP Release 17],Camping on a cell,Performing location registration,Performing CN type selection,Performing RNA update,option 1: Camping on a cell,Camping on a cell is necessary to get access to services in Idle mode.,Standards specifications,All of the above
How does EC-GSM-IoT improve coverage performance for Cellular IoT devices? [3GPP Release 14],By increasing the transmit power,By reducing the MS complexity,By using modified channel coding schemes,By adding more timeslot resources,option 3: By using modified channel coding schemes,EC-GSM-IoT improves the coverage performance of Cellular IoT devices by using modified channel coding schemes.,Standards overview,
What triggers the NF/NF Service Context Transfer Push procedure? [3GPP Release 18],The Target NF/NF Service receiving a notification about the decommissioning,The Source NF informing the NRF about the decommissioning,The Source NF sending a request to the Target NF/NF Service,The Target NF/NF Service receiving a request from the Source NF/NF Service,option 3: The Source NF sending a request to the Target NF/NF Service,"When triggered, the Source NF/NF Service acting as an NF Service Consumer sends its Context to the Target NF/NF Service acting as an NF Service Producer by sending a request.",Standards specifications,The Target NF/NF Service setting up necessary information about the new context location
Which 5G vertical domain is the maritime domain a part of? [3GPP Release 16],Public safety domain,Automotive domain,Factory automation domain,Satellite industrial domain,option 5: None of the above,The maritime domain is one of the 5G vertical domains in 3GPP.,Standards overview,None of the above
What is the purpose of the User Configuration mechanism in the IMS Multimedia Telephony service? [3GPP Release 17],To support synchronization of communication logs between multiple devices,To indicate which identities are active or inactive on a specific UE,To provide user preferences for media handling capabilities,To modify the Caller Identity Analytics function,option 2: To indicate which identities are active or inactive on a specific UE,The User Configuration mechanism allows an authorized user to indicate which identities are active or inactive on a specific UE.,Standards specifications,
What is the purpose of packet buffering in Edge Relocation? [3GPP Release 18],To prevent packet loss during EAS migration,To optimize user plane latency,To enable simultaneous connectivity over source and target PSA,To eliminate the need for EAS IP replacement,option 1: To prevent packet loss during EAS migration,Packet buffering is used in Edge Relocation to buffer uplink packets and prevent packet loss when the application client sends UL packets to a new EAS before it is ready to handle them.,Standards specifications,
What does the Multi-Identity (MiD) service enable? [3GPP Release 16],A user to use different UEs registered under different public user identities,A user to use different identities on a single UE,Call distribution to different members of a group or firm,A user to share identities with another user,option 2: A user to use different identities on a single UE,The Multi-Identity (MiD) service enables a user to use different identities on a single UE.,Standards overview,A user to use different UEs that are registered under the same public user identity
What is the maximum number of PDU Sessions? [3GPP Release 17],128,32,8,256,option 4: 256,The maximum number of PDU Sessions is 256.,Standards specifications,64
Which identity is used for indication of pre-emption in the downlink? [3GPP Release 17],C-RNTI,CI-RNTI,CS-RNTI,INT-RNTI,option 4: INT-RNTI,INT-RNTI is used for indication of pre-emption in the downlink.,Standards specifications,P-RNTI
What is the purpose of the group identifier called 'External Group ID'? [3GPP Release 14],To identify individual UEs within a group,To resolve the group ID to individual UE ID,To reduce signalling for sending event reports of group members,To indicate the time for which monitoring event reporting can be aggregated,option 2: To resolve the group ID to individual UE ID,The group identifier 'External Group ID' is used to identify the group of UEs and is resolved to individual UE ID by the HSS or PCRF.,Standards specifications,To handle group-based enhancements in the network capability exposure function
When can the V-SMF delete the DNS context from the selected V-EASDF? [3GPP Release 18],When the request for HR-SBO is not authorized,When the V-SMF selects a new V-EASDF,When the UE initiates a Mobility Registration Update procedure,When the AF triggers EAS rediscovery,option 1: When the request for HR-SBO is not authorized,"If the request for HR-SBO is not authorized and a DNS context had been created, the V-SMF deletes the DNS context from the selected V-EASDF.",Standards specifications,
What does a UE determine when selecting a power for an S-SS/PSBCH block transmission occasion? [3GPP Release 17],Value of dl-P0-PSBCH-r16,Value of dl-Alpha-PSBCH,Number of resource blocks for a S-SS/PSBCH block transmission,Value of dl-P0-PSBCH-r17,"option 5: Value of dl-P0-PSBCH-r16 if provided, else dl-Alpha-PSBCH","A UE determines a power for an S-SS/PSBCH block transmission occasion based on the value of dl-P0-PSBCH-r16 if provided, else dl-Alpha-PSBCH.",Standards specifications,"Value of dl-P0-PSBCH-r16 if provided, else dl-Alpha-PSBCH"
What is supported in enhanced TTI bundling compared to Rel-13 CE mode A in eMTC? [3GPP Release 14],UL asynchronous HARQ transmission,Different repetition levels of scheduled PUSCH,Bundle frequency hopping,Multi-subframe channel estimation,option 2: Different repetition levels of scheduled PUSCH,"Enhanced TTI bundling supports additional repetition numbers, including 12 and 24, compared to Rel-13 CE mode A in eMTC.",Standards overview,HARQ process ID
What is the purpose of the MasterInformationBlockSidelink message? [3GPP Release 17],To request UE sidelink capabilities,To indicate the failure of a PC5 RRC AS reconfiguration,To transfer UE radio access capabilities,To include sidelink DRX assistance information used to determine the sidelink DRX configuration,option 5: To include the system information transmitted by a UE via SL-BCH,The purpose of the MasterInformationBlockSidelink message is to include the system information transmitted by a UE via SL-BCH.,Standards specifications,To include the system information transmitted by a UE via SL-BCH
What is the indication used to invoke the terminal application in the peer end of a multimedia call? [3GPP Release 18],H.243 information,H.223 and H.245 information,Call Control Capabilities information,H.324 information,option 4: H.324 information,"In the peer end of a multimedia call, the H.324 information is used to invoke the terminal application.",Standards specifications,
What is the role of the bearer control function? [3GPP Release 18],To provide interfaces for supplementary services,To define the characteristics of bearers,To assign and release bearers for a call,To enable subscribers to control services,option 3: To assign and release bearers for a call,The bearer control function is responsible for the assignment and release of bearers for a call.,Standards specifications,To adapt bearers for fixed network use
What is the purpose of interworking between a 5G core network and an EPC? [3GPP Release 17],To support home network provided data connectivity,To preserve IP address for PS service,To provide support for services in the home network,To support mobility procedures with minimum impact to the user experience,option 4: To support mobility procedures with minimum impact to the user experience,The 5G system shall support mobility procedures between a 5G core network and an EPC with minimum impact to the user experience.,Standards specifications,
What does the Relaxed monitoring for cell reselection feature in NB-IoT allow the UE to do? [3GPP Release 15],Avoid monitoring neighbouring cells for 24 hours in stationary or non-changing network topology,Request NPUSCH resources for BSR transmission,Reduce system acquisition time for the UE,Support small cell deployments with lower maximum transmit power,option 1: Avoid monitoring neighbouring cells for 24 hours in stationary or non-changing network topology,The Relaxed monitoring for cell reselection feature allows the UE to avoid monitoring neighbouring cells for 24 hours in cases where the UE is stationary and/or the network topology is not changing. This helps to extend UE battery life.,Standards overview,Improve the accuracy of narrowband measurement
What happens during session termination in online charging? [3GPP Release 18],The resource usage is debited from the subscriber account immediately,The network element sends an interim charging event,A certain amount of units is blocked on the subscriber's account,The CDF produces a matching CDR,option 5: The value of unused quota is returned to the subscriber's account,"During session termination in online charging, the value of any unused quota is returned by the network element to the OCS/CCS, which then returns it to the subscriber's account.",Standards specifications,The value of unused quota is returned to the subscriber's account
Can any party in a multiparty call undergo voice call continuity? [3GPP Release 18],"Yes, any party in a multiparty call can undergo voice call continuity","No, only the calling party can undergo voice call continuity","No, only the called party can undergo voice call continuity","No, voice call continuity is not supported for multiparty calls","option 1: Yes, any party in a multiparty call can undergo voice call continuity","It is possible for any party in a multiparty call to undergo voice call continuity and stay in the call. The entire multiparty call can be terminated when the served mobile subscriber releases, even if they are connected via IMS.",Standards specifications,
What is covered by enhanced application layer support for V2X services? [3GPP Release 17],PC5 radio resource control,Advanced V2X services,SDAP layer enhancements,V2X communication over NR PC5 reference point,option 2: Advanced V2X services,"Enhanced application layer support for V2X services covers the support of advanced V2X services, considering existing stage 1 and stage 2 work within 3GPP and V2X application requirements defined outside 3GPP.",Standards overview,Tele-Operated Driving
What is the purpose of the UE Capability Management Function (UCMF)? [3GPP Release 16],To store UE radio capability IDs,To assign UE radio capability IDs,To provision UE radio capability IDs,All of the above,option 4: All of the above,"The UE Capability Management Function (UCMF) is used to store, assign, and provision UE radio capability IDs.",Standards overview,
How does a non-supporting UE select a core network operator to serve it in a shared network? [3GPP Release 17],The UE selects an operator from the available CN operators.,The shared network selects an operator for the UE.,The RAN routes the UE to an available CN node.,The BSC/RNC/eNodeB relays the chosen operator to the core network node.,option 2: The shared network selects an operator for the UE.,A non-supporting UE in a shared network has the operator selected by the shared network.,Standards specifications,
"For PSFCH transmission with HARQ-ACK information, how are the PRBs allocated? [3GPP Release 17]",In an ascending order of the PRB index only,In an ascending order of the cyclic shift pair index only,In an ascending order of both the PRB index and the cyclic shift pair index,In a random order,option 3: In an ascending order of both the PRB index and the cyclic shift pair index,"For PSFCH transmission with HARQ-ACK information, the PRBs are allocated in an ascending order of both the PRB index and the cyclic shift pair index.",Standards specifications,
What determines the energy detection threshold in channel access procedures? [3GPP Release 17],The maximum eNB/gNB output power in dBm for the channel,The single channel bandwidth in MHz,The absence of any other technology sharing the channel,All of the above,option 4: All of the above,"The energy detection threshold in channel access procedures is determined by the maximum eNB/gNB output power, single channel bandwidth, and the absence of any other technology sharing the channel.",Standards specifications,
What does the Load-Balancing steering mode do? [3GPP Release 17],Splits the traffic of a data flow across 3GPP and non-3GPP accesses,Balances the load on the core network nodes,Restricts the UE to a single access type,Improves network performance measurements,option 1: Splits the traffic of a data flow across 3GPP and non-3GPP accesses,The Load-Balancing steering mode splits the traffic of a data flow across 3GPP and non-3GPP accesses in both uplink and downlink directions separately.,Standards overview,
What does the home environment need to provide to the visited network when allowing a subscriber to roam to different domains? [3GPP Release 18],Service data,Authentication data,Subscription data,Capabilities data,option 3: Subscription data,"The document states that when an operator allows a subscriber to roam to different domains, the home environment needs to provide subscription data to the visited network.",Standards specifications,Roaming agreement data
What does VarConnEstFailReportList include? [3GPP Release 17],Information about connection resume successes,Information about connection establishment successes,Information about connection resume failures,Information about connection establishment failures,option 4: Information about connection establishment failures,VarConnEstFailReportList includes a list of the connection establishment failure and/or connection resume failure information.,Standards specifications,Information about successful handovers
Which interface is used to transfer short messages between the SGSN and SMS-GMSC/SMS-IWMSC? [3GPP Release 17],Gn/Gp-interface,Gr-interface,Gs-interface,Gb-interface,option 5: Gd-interface,The Gd-interface is used to transfer short messages between the SGSN and SMS-GMSC/SMS-IWMSC.,Standards specifications,Gd-interface
What does the RRC protocol offer to upper layers? [3GPP Release 17],Broadcast of common control information,Notification of UEs in RRC_IDLE,Transfer of dedicated signalling,Broadcast of positioning assistance data,option 1: Broadcast of common control information,The RRC protocol offers the service of broadcasting common control information to upper layers.,Standards specifications,Transfer of application layer measurement configuration and reporting
What is SIPTO at the Local Network? [3GPP Release 17],A collocated L-GW in the eNB,A standalone GW,A collocated S-GW and L-GW in the eNB,A collocated MME and S-GW,option 1: A collocated L-GW in the eNB,SIPTO at the Local Network refers to the use of a collocated L-GW in the eNB or a standalone GW to support certain functions.,Standards specifications,A collocated MME and L-GW
"In the indirect communication model without delegated discovery, what is the role of the SCP? [3GPP Release 18]",It authorizes the NF service consumer's request,It selects the NF service producer instance for the NF service consumer,It stores and marks the NF service consumer as available,It routes the request from the NF service consumer to the selected NF service producer instance,option 4: It routes the request from the NF service consumer to the selected NF service producer instance,"In the indirect communication model without delegated discovery, the SCP routes the request from the NF service consumer to the selected NF service producer instance.",Standards specifications,It notifies the NF service consumer of newly registered/updated/deregistered NF instances
When is Paging with Wake Up Signal (WUS) used? [3GPP Release 17],When the UE is in RRC_INACTIVE state,When the UE is in RRC_IDLE state,When the UE detects a PTW,When the UE supports DRX,option 2: When the UE is in RRC_IDLE state,Paging with Wake Up Signal (WUS) is used in the RRC_IDLE state when the UE detects WUS and needs to monitor the following POs or receive a paging message.,Standards specifications,When the UE supports GWUS
"In unpaired spectrum operation, when are a DL BWP and an UL BWP linked together? [3GPP Release 17]",When the DL BWP index and the UL BWP index are the same,When the center frequency for both BWP is the same,When they have the same SCS configuration,When they have the same number of RB sets,option 1: When the DL BWP index and the UL BWP index are the same,"In unpaired spectrum operation, a DL BWP and an UL BWP are linked together when the DL BWP index and the UL BWP index are the same.",Standards specifications,
How is Extended Access Barring supported in shared networks? [3GPP Release 17],The BSC/RNC/eNodeB configures the UE for access barring.,The shared network applies access barring uniformly for all UEs.,The UE requests access barring for specific operators.,The BSC/RNC/eNodeB provides independent support for each sharing operator.,option 4: The BSC/RNC/eNodeB provides independent support for each sharing operator.,"In shared networks, the BSC/RNC/eNodeB provides independent support for the barring of MSs configured for Extended Access Barring for each sharing operator.",Standards specifications,
What are the peak packet data rates supported by the Evolved Packet System on the radio access bearer? [3GPP Release 17],100 Mbps downlink and 50 Mbps uplink,50 Mbps downlink and 100 Mbps uplink,100 Mbps both downlink and uplink,50 Mbps both downlink and uplink,option 1: 100 Mbps downlink and 50 Mbps uplink,The radio access network of the Evolved Packet System is capable of supporting instantaneous peak packet data rates of 100 Mbps on the radio access bearer downlink to the UE and 50 Mbps on the uplink.,Standards specifications,
What is a Personal IoT Network (PIN)? [3GPP Release 17],"A network located within a residence, office or shop that provides connectivity to the 5G network.","A network owned, installed, and configured by a public network operator.",A network that consists of PIN Elements and communicates using PIN Direct Connection.,"A network that supports mechanisms for identifying a PIN, PIN Element, eRG, and PRAS.",option 3: A network that consists of PIN Elements and communicates using PIN Direct Connection.,A Personal IoT Network (PIN) is described as a network that consists of PIN Elements that communicate using PIN Direct Connection or direct network connection and is managed locally.,Standards specifications,"A network that supports regulatory requirements for emergency calls, PWS, and eCall for UEs connected via 3GPP access."
What criteria are considered for network broadcast geographic area coverage management? [3GPP Release 18],OTT provider request and available network capacity,OTT provider request and number of users under broadcast network coverage,Location information of UE and number of users under broadcast network coverage,OTT provider request and location information of UE,option 2: OTT provider request and number of users under broadcast network coverage,"According to the document, network broadcast geographic area coverage management considers OTT provider request (including the potential coverage information of TV service information) and the number of users under broadcast network coverage.",Standards specifications,Number of users under broadcast network coverage and available network capacity
What does the 5G system need to provide for mobile base station relays using 5G connectivity provided by a different MNO? [3GPP Release 17],Separate network infrastructure for MNO-B to communicate with MNO-A through the relay,Specific QoS handling for traffic relayed through the MNO-B's network,Ability for MNO-A and MNO-B to share relay resources for UEs connected to the 5G network,Authorization from MNO-A for MNO-B to provide 5G connectivity through the relay,option 3: Ability for MNO-A and MNO-B to share relay resources for UEs connected to the 5G network,"The 5G system needs to support RAN sharing between multiple PLMNs for UEs connected to the 5G network via mobile base station relays, assuming that relay and (donor) RAN resources are shared among operators.",Standards specifications,Ownership and control of the relay by MNO-A despite using connectivity from MNO-B
When can a UE apply Type 1 channel access procedures for a UL transmission(s)? [3GPP Release 17],Before receiving the corresponding capability,After performing Type 2 channel access procedures,After receiving the corresponding capability,None of the above,option 3: After receiving the corresponding capability,A UE can apply Type 1 channel access procedures for a UL transmission(s) after receiving the corresponding capability.,Standards specifications,
Which power saving scheme achieves power consumption reduction by potentially skipping PDCCH monitoring at subsequent slots of PDSCH/PUSCH transmission? [3GPP Release 16],Cross-slot scheduling,Same slot scheduling,Multi-slot scheduling,Dynamic DRX configuration,option 3: Multi-slot scheduling,The power saving scheme of multi-slot scheduling achieves power consumption reduction by potentially skipping PDCCH monitoring at subsequent slots of PDSCH/PUSCH transmission.,Standards specifications,
What type of authentication and authorization is required for accessing a 5G VN group? [3GPP Release 18],No authentication/authorization is required,Primary 5G VN group authentication/authorization,Individual UE authentication/authorization,Common DN authentication/authorization,option 5: Secondary authentication/authorization,"Accessing a 5G VN group requires secondary authentication and authorization, which is performed as part of the PDU Session Establishment procedure.",Standards specifications,Secondary authentication/authorization
What does the timing advance command for a TAG indicate? [3GPP Release 17],Change of synchronization signal transmission timing,Change of downlink timing relative to the current downlink timing,Change of uplink timing relative to the current uplink timing,Change of broadcast channel transmission timing,option 3: Change of uplink timing relative to the current uplink timing,The timing advance command for a TAG indicates the change of uplink timing relative to the current uplink timing.,Standards specifications,
What can be configured separately for each SPS configuration in LTE? [3GPP Release 18],The time reference,The PDCP duplication settings,The cyclic shift for the UL Demodulation Reference Signal (DMRS),The allocated RBs (Resource Blocks),option 3: The cyclic shift for the UL Demodulation Reference Signal (DMRS),"In LTE, the cyclic shift for the UL Demodulation Reference Signal (DMRS) can be configured independently for each SPS configuration.",Standards specifications,
What are the supported scenarios for MPS for MMTEL voice? [3GPP Release 18],MPS for MMTEL voice and voice conference calls for an authorized Service User using a UE with an MPS subscription,MPS for MMTEL voice and voice conference calls for an authorized Service User using a UE that does not have an MPS subscription,MPS for all participants of an authorized MMTEL voice conference call,All of the above,option 4: All of the above,"The system shall support MPS for MMTEL voice and voice conference calls for an authorized Service User using a UE with an MPS subscription, a UE that does not have an MPS subscription, and all participants of an authorized MMTEL voice conference call.",Standards specifications,
What is the high quality criterion for reporting a PLMN to the NAS in the E-UTRA and NB-IoT case? [3GPP Release 17],Measured RSRP value greater than or equal to -110 dBm,Measured RSRP value less than -110 dBm,Measured RSRP value greater than or equal to -100 dBm,Measured RSRP value less than -100 dBm,option 1: Measured RSRP value greater than or equal to -110 dBm,The high quality criterion for reporting a PLMN to the NAS in the E-UTRA and NB-IoT case is a measured RSRP value greater than or equal to -110 dBm.,Standards specifications,Measured RSRP value greater than or equal to -120 dBm
What power saving gain range is observed for the power saving scheme with UE adaptation to the number of antenna/MIMO layer? [3GPP Release 16],3% - 20%,6% - 30%,15% - 45%,30% - 280%,option 2: 6% - 30%,The power saving gain for the power saving scheme with UE adaptation to the number of antenna/MIMO layer ranges from 6% to 30%.,Standards specifications,
What does the SIP Reason header extension work item do? [3GPP Release 14],Specifies procedures for interworking of eCall over IMS to CS domain,Introduces password protection for activation of supplementary services in IMS,Ensures consistency of all the possible extensions of the SIP Reason header field,Provides media handling extensions for IMS-based telepresence,option 3: Ensures consistency of all the possible extensions of the SIP Reason header field,The SIP Reason header extension work item ensures consistency of all the possible extensions of the SIP Reason header field.,Standards specifications,
What is the main objective of intent driven management for service or network management? [3GPP Release 17],To support monitoring of the progress of file download in a downloading job,To provide detailed knowledge of the underlying network resources,To optimize the provisioning of management services for UEs in a specified area,To reduce the complexity of management for network resources,option 4: To reduce the complexity of management for network resources,The intent driven management aims to reduce the complexity of management without getting into the intricate detail of the underlying network resources.,Standards overview,To enhance the support for the NSA in the service-based management architecture
What is the RRC buffer size for a UE? [3GPP Release 17],45 MB,45 KB,45 GB,45 TB,option 2: 45 KB,The RRC buffer size for a UE is 45 Kbytes.,Standards specifications,4500 KB
What does the ECS provide to the EEC? [3GPP Release 18],Edge configuration information,EAS configuration information,Network capability information,Application Data Traffic,option 1: Edge configuration information,The ECS provides Edge configuration information to the EEC.,Standards specifications,
Are the MuD and MiD services mutually exclusive? [3GPP Release 16],"Yes, a user can only use either MuD or MiD service at a time","No, they can both be used at the same time","No, a user can switch between MuD and MiD services","Yes, a user can only use MuD service on one type of UE and MiD service on another","option 2: No, they can both be used at the same time",The MuD and MiD services can be used at the same time.,Standards overview,"No, a user can only use either MuD or MiD service based on their subscription"
What does the feature 'Accessing a list of deferred data communications' enable for the MCData service? [3GPP Release 15],Sharing the current MCData system defined status,Real-time updates of changes to group dynamic data,Sending an application level message to MCData clients,Temporary storage of data communications,option 4: Temporary storage of data communications,The feature 'Accessing a list of deferred data communications' enables the MCData service to temporarily store data communications for the case where the download of the data has been deferred by an MCData user.,Standards overview,Extending the MCData application identifier
What are the enhancements specified for the 3GPP Northbound APIs in Release 16? [3GPP Release 16],Optimization of APIs,Handling communication failure cases,HTTP-based protocol or OpenAPI file improvements,Additional deployment models,option 5: All of the above,"The enhancements specified for the 3GPP Northbound APIs in Release 16 include optimization of APIs, handling communication failure cases, and HTTP-based protocol or OpenAPI file improvements.",Standards overview,All of the above
Where is the UE Radio Capability ID signaled by the UE? [3GPP Release 16],Over Uu interface between the UE and the CN,Within the RAN in handover procedures,Within the CN,All of the above,option 4: All of the above,"The UE Radio Capability ID is signaled by the UE over Uu interface, within the RAN in handover procedures, and within the CN.",Standards overview,
What is one of the requirements for interworking between fixed access and Evolved Packet Core? [3GPP Release 17],Efficient usage of system resources,Policy management and authentication for WLAN terminals,Routing different PDN connections through different accesses,Support for simultaneous access to PLMN services,option 3: Routing different PDN connections through different accesses,The Evolved Packet System shall be able to route different simultaneously active PDN connections through different accesses while interworking between the fixed access and Evolved Packet Core.,Standards specifications,Support for offline charging for traffic routed via the Evolved Packet Core
How is the modulation order (Qm) and target code rate (R) determined for PSSCH transmission? [3GPP Release 17],Based on the DM-RS configuration,Based on the MCS table,Based on the number of REs in the slot,Based on the redundancy version,option 2: Based on the MCS table,The UE uses the MCS table and the Modulation and Coding Scheme (MCS) field in SCI format 1-A to determine the modulation order (Qm) and target code rate (R) for PSSCH transmission.,Standards specifications,Based on the number of DMRS port
What inputs are required for the Nmfaf_3daDataManagement_Configure service operation? [3GPP Release 18],Data Consumer or Analytics Consumer Information,"Formatting Instructions, Processing Instructions, MFAF Notification Information, Transaction Reference Id, ADRF ID",Notification Correlation Information,Set of Fetch Correlation ID(s),option 1: Data Consumer or Analytics Consumer Information,Data Consumer or Analytics Consumer Information is required as an input for the Nmfaf_3daDataManagement_Configure service operation.,Standards specifications,
What are the enhanced RRM requirements in DRX in connected mode? [3GPP Release 14],Reduced cell identification delay and measurement period.,"Reduced cell detection delay, measurement period, and evaluation time.","Reduced cell identification delay, measurement period, and evaluation time.",Reduced cell detection delay and measurement period.,option 1: Reduced cell identification delay and measurement period.,The enhanced RRM requirements in DRX in connected mode include reducing the cell identification delay and measurement period.,Standards specifications,
